date,symbol,open,high,low,close,volume,adv,daily_volatility
2025-01-21,PG,161.42,162.35,160.96,161.72,13914694.0,1195771417.7041667,0.011549197767969024
2025-01-21,UNH,507.903,519.081,507.039,519.071,5746873.0,2694044536.1155834,0.0258443395880167
2025-01-21,XOM,112.05,112.175,111.1305,111.47,20416286.0,1685843091.0675,0.011665488020705312
2025-01-22,AAPL,218.8,223.112,218.8,222.822,64416527.0,12822535364.534538,0.01767093821821762
2025-01-22,AMZN,232.02,235.44,231.19,235.01,41448217.0,7159524495.53,0.016952455593354798
2025-01-22,GOOGL,199.06,200.48,197.53,198.37,26200617.0,4619784388.523077,0.014989458257002443
2025-01-22,HD,417.48,417.55,409.33,410.1,3581351.0,1302274671.6307693,0.014192694940766908
2025-01-22,JNJ,143.8,145.47,142.11,145.27,16834747.0,1366487576.66,0.014111508403824679
2025-01-22,JPM,262.9,263.38,260.25,262.84,9021914.0,2940460903.165385,0.011282545444634352
2025-01-22,META,623.3,633.7,619.435,623.5,12274011.0,7995126466.29077,0.020750702124555404
2025-01-22,MSFT,437.56,447.27,436.0,446.2,27803811.0,8424684942.620769,0.01587396592227666
2025-01-22,NVDA,144.66,147.79,143.67,147.07,237651395.0,31255270820.301537,0.03441364768892808
2025-01-22,PG,167.1,168.14,164.44,164.74,14356691.0,1285721406.753077,0.012566476524540827
2025-01-22,UNH,516.345,518.527,510.182,513.86,3798969.0,2636974818.748231,0.024969516802229797
2025-01-22,XOM,111.2,111.57,109.4,109.53,15718012.0,1688593149.7823079,0.01265756819212984
2025-01-23,AAPL,223.728,226.008,221.299,222.652,60507186.0,12868928979.730072,0.017005952500617347
2025-01-23,AMZN,234.1,235.52,231.51,235.42,26404364.0,7092138129.626429,0.01626525302509258
2025-01-23,GOOGL,198.14,200.3,195.2,197.98,26951357.0,4670930479.261429,0.014444879034004455
2025-01-23,HD,410.59,414.69,408.75,414.39,3840275.0,1322924449.175,0.013684711381171206
2025-01-23,JNJ,145.44,147.91,144.8144,146.64,10506361.0,1378927948.1157146,0.013720571770921623
2025-01-23,JPM,264.69,266.8599,263.81,265.95,10749681.0,2934633528.792857,0.010863945557972881
2025-01-23,META,627.36,636.6,621.15,636.45,9910163.0,7874569093.080714,0.020436011479599402
2025-01-23,MSFT,442.0,446.75,441.5048,446.71,18389270.0,8409683932.555,0.015245102239688592
2025-01-23,NVDA,145.05,147.23,143.72,147.22,155915549.0,30662314841.978573,0.032973863951617347
2025-01-23,PG,163.88,166.48,163.32,166.15,7614308.0,1284249682.999286,0.01229396286969457
2025-01-23,UNH,521.919,525.488,513.465,523.798,4633035.0,2621960507.9040713,0.024344288894943205
